datum,bundesland_id,bundesland_name,behandlungsgruppe,behandlungsgruppe_level_2,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_erstaufnahmen,intensivbetten_belegt,intensivbetten_frei,intensivbetten_7_tage_notfallreserve,kapazitaeten_frei_invasive_beatmung_gesamt,kapazitaeten_frei_invasive_beatmung_covid,kapazitaeten_frei_invasive_beatmung_isolationspflichtige_kinder,betriebssituation_regulaerer_betrieb,betriebssituation_teilweise_eingeschraenkt,betriebssituation_eingeschraenkt,betriebssituation_keine_angabe,einschraenkung_beatmungsgeraet,einschraenkung_material,einschraenkung_personal,einschraenkung_raum
2020-05-05,00,Deutschland,Kinder,NICU,31,1,NA,252,139,NA,87,NA,NA,23,2,2,4,0,0,2,1
2020-05-05,00,Deutschland,Kinder,PICU,38,2,NA,248,190,NA,129,NA,NA,28,5,3,2,0,1,6,4
2020-05-06,00,Deutschland,Erwachsene,ERWACHSENE,1327,1820,NA,19533,11538,NA,8390,NA,NA,987,103,85,152,27,22,132,52
2020-05-06,00,Deutschland,Kinder,NICU,31,3,NA,269,126,NA,83,NA,NA,25,2,1,3,0,0,2,1
2020-05-06,00,Deutschland,Kinder,PICU,38,2,NA,264,175,NA,119,NA,NA,27,5,3,3,1,1,6,5
2020-05-07,00,Deutschland,Erwachsene,ERWACHSENE,1326,1763,NA,19508,11503,NA,8264,NA,NA,977,115,81,153,28,18,133,58
2020-05-07,00,Deutschland,Kinder,NICU,31,4,NA,275,120,NA,77,NA,NA,24,3,1,3,0,0,2,2
2020-05-07,00,Deutschland,Kinder,PICU,38,2,NA,253,180,NA,116,NA,NA,26,5,3,4,1,1,7,5
2020-05-08,00,Deutschland,Erwachsene,ERWACHSENE,1326,1659,NA,19456,11365,NA,8227,NA,NA,989,105,85,147,28,19,125,57
2020-05-08,00,Deutschland,Kinder,NICU,31,1,NA,294,117,NA,74,NA,NA,27,1,1,2,0,0,1,1
2020-05-08,00,Deutschland,Kinder,PICU,38,2,NA,257,169,NA,106,NA,NA,26,6,3,3,1,1,8,5
2020-05-09,00,Deutschland,Erwachsene,ERWACHSENE,1326,1594,NA,19260,11574,NA,8340,NA,NA,986,108,87,145,27,19,125,58
2020-05-09,00,Deutschland,Kinder,NICU,31,1,NA,274,133,NA,82,NA,NA,28,1,1,1,0,0,1,1
2020-05-09,00,Deutschland,Kinder,PICU,38,1,NA,253,172,NA,111,NA,NA,26,5,3,4,0,1,7,4
2020-05-10,00,Deutschland,Erwachsene,ERWACHSENE,1326,1603,NA,18707,11991,NA,8584,NA,NA,982,104,87,153,26,19,127,55
2020-05-10,00,Deutschland,Kinder,NICU,31,1,NA,281,121,NA,75,NA,NA,24,2,2,3,0,0,2,2
2020-05-10,00,Deutschland,Kinder,PICU,38,1,NA,241,187,NA,119,NA,NA,26,5,4,3,0,1,8,4
2020-05-11,00,Deutschland,Erwachsene,ERWACHSENE,1327,1587,NA,18864,11835,NA,8456,NA,NA,991,103,87,146,27,19,124,58
2020-05-11,00,Deutschland,Kinder,NICU,31,2,NA,284,119,NA,72,NA,NA,26,1,1,3,0,0,1,1
2020-05-11,00,Deutschland,Kinder,PICU,38,1,NA,241,166,NA,113,NA,NA,28,3,4,3,0,1,6,3
2020-05-12,00,Deutschland,Erwachsene,ERWACHSENE,1335,1496,NA,19764,11605,NA,8310,NA,NA,989,100,92,154,27,22,122,62
2020-05-12,00,Deutschland,Kinder,NICU,31,2,NA,272,137,NA,83,NA,NA,26,1,1,3,0,0,1,1
2020-05-12,00,Deutschland,Kinder,PICU,38,1,NA,238,176,NA,121,NA,NA,28,2,5,3,0,1,6,3
2020-05-13,00,Deutschland,Erwachsene,ERWACHSENE,1337,1384,NA,19704,11275,NA,8104,NA,NA,984,109,98,146,28,21,130,66
2020-05-13,00,Deutschland,Kinder,NICU,31,1,NA,260,129,NA,83,NA,NA,26,1,1,3,0,0,1,1
2020-05-13,00,Deutschland,Kinder,PICU,38,1,NA,245,166,NA,117,NA,NA,25,3,4,6,0,1,5,3
2020-05-14,00,Deutschland,Erwachsene,ERWACHSENE,1341,1316,NA,19634,11435,NA,8234,NA,NA,995,103,94,149,27,20,128,63
2020-05-14,00,Deutschland,Kinder,NICU,31,1,NA,255,139,NA,91,NA,NA,27,0,1,3,0,0,0,1
2020-05-14,00,Deutschland,Kinder,PICU,38,1,NA,227,169,NA,124,NA,NA,25,3,4,6,0,1,6,3
2020-05-15,00,Deutschland,Erwachsene,ERWACHSENE,1341,1232,NA,19963,11114,NA,8038,NA,NA,1002,99,90,150,24,20,125,61
2020-05-15,00,Deutschland,Kinder,NICU,31,2,NA,262,131,NA,83,NA,NA,26,1,1,3,0,0,1,1
2020-05-15,00,Deutschland,Kinder,PICU,38,1,NA,229,170,NA,125,NA,NA,26,3,4,5,0,1,7,2
2020-05-16,00,Deutschland,Erwachsene,ERWACHSENE,1341,1173,NA,19602,11309,NA,8118,NA,NA,1008,101,83,149,23,19,119,58
2020-05-16,00,Deutschland,Kinder,NICU,31,2,NA,267,123,NA,77,NA,NA,26,1,1,3,0,0,1,1
